T,C,Y
1954,25268,27889
1955,26445,28816
1956,28092,31229
1957,28768,32273
1958,29780,32621
1959,30034,31515
1960,28444,31173
1961,31277,34762
1962,33826,37736
1963,37338,42059
1964,38600,43742
1965,40845,46419
1966,43153,49263
1967,45197,49774
1968,47295,52140
1969,50115,55260
1970,51713,57850
1971,53794,60615
1972,57725,65061
1973,61827,70050
1974,65386,72818
1975,65250,73565
1976,67481,74931
1977,68359,74841
1978,68507,75990
1979,68713,75517
1980,69081,74572
1981,67964,73751
1982,67913,73593
1983,67861,72530
1984,66851,71539
